S.N.,page_number,x0,y0,x1,y1,width,height
1,1,308.86199951171875,227.71453857421875,545.114013671875,369.0580139160156,1043,624
2,2,308.86199951171875,71.99980926513672,545.11474609375,163.46002197265625,1010,391
