S.N.,page_number,x0,y0,x1,y1,width,height
73,21,404.46624755859375,176.1086883544922,424.67230224609375,196.31472778320312,107,107
74,21,428.4511413574219,175.8528594970703,448.6571960449219,196.05889892578125,107,107
75,21,452.7134094238281,176.1086883544922,472.9194641113281,196.31472778320312,107,107
76,21,476.74725341796875,175.8528594970703,496.95330810546875,196.05889892578125,107,107
77,21,114.98335266113281,207.94496154785156,135.18939208984375,228.1510009765625,107,107
78,21,139.3271942138672,207.8326873779297,159.53323364257812,228.03872680664062,107,107
79,21,163.23049926757812,207.94496154785156,183.43653869628906,228.1510009765625,107,107
80,21,187.623291015625,207.8326873779297,207.82933044433594,228.03872680664062,107,107
81,21,211.4776611328125,207.94496154785156,231.68370056152344,228.1510009765625,107,107
82,21,235.91940307617188,207.8326873779297,256.1254577636719,228.03872680664062,107,107
83,21,259.72479248046875,207.94496154785156,279.93084716796875,228.1510009765625,107,107
84,21,283.5628662109375,207.8326873779297,303.7689208984375,228.03872680664062,107,107
85,21,307.9719543457031,207.94496154785156,328.1780090332031,228.1510009765625,107,107
86,21,331.85894775390625,207.8326873779297,352.06500244140625,228.03872680664062,107,107
87,21,356.2191162109375,207.94496154785156,376.4251708984375,228.1510009765625,107,107
88,21,380.1550598144531,207.8326873779297,400.3611145019531,228.03872680664062,107,107
89,21,404.46624755859375,207.94496154785156,424.67230224609375,228.1510009765625,107,107
90,21,428.4511413574219,207.8326873779297,448.6571960449219,228.03872680664062,107,107
91,21,452.7134094238281,207.94496154785156,472.9194641113281,228.1510009765625,107,107
92,21,476.74725341796875,207.8326873779297,496.95330810546875,228.03872680664062,107,107
93,21,114.98335266113281,239.7805633544922,135.18939208984375,259.9866027832031,107,107
94,21,139.3271942138672,239.8125457763672,159.53323364257812,260.0185852050781,107,107
95,21,163.23049926757812,239.7805633544922,183.43653869628906,259.9866027832031,107,107
96,21,187.623291015625,239.8125457763672,207.82933044433594,260.0185852050781,107,107
97,21,211.4776611328125,239.7805633544922,231.68370056152344,259.9866027832031,107,107
98,21,235.91940307617188,239.8125457763672,256.1254577636719,260.0185852050781,107,107
99,21,259.72479248046875,239.7805633544922,279.93084716796875,259.9866027832031,107,107
100,21,283.5628662109375,239.8125457763672,303.7689208984375,260.0185852050781,107,107
101,21,307.9719543457031,239.7805633544922,328.1780090332031,259.9866027832031,107,107
102,21,331.85894775390625,239.8125457763672,352.06500244140625,260.0185852050781,107,107
103,21,356.2191162109375,239.7805633544922,376.4251708984375,259.9866027832031,107,107
104,21,380.1550598144531,239.8125457763672,400.3611145019531,260.0185852050781,107,107
105,21,404.46624755859375,239.7805633544922,424.67230224609375,259.9866027832031,107,107
106,21,428.4511413574219,239.8125457763672,448.6571960449219,260.0185852050781,107,107
107,21,452.7134094238281,239.7805633544922,472.9194641113281,259.9866027832031,107,107
108,21,476.74725341796875,239.8125457763672,496.95330810546875,260.0185852050781,107,107
109,21,114.98335266113281,271.61614990234375,135.18939208984375,291.82220458984375,107,107
110,21,139.3271942138672,271.7923889160156,159.53323364257812,291.9984436035156,107,107
111,21,163.23049926757812,271.61614990234375,183.43653869628906,291.82220458984375,107,107
112,21,187.623291015625,271.7923889160156,207.82933044433594,291.9984436035156,107,107
113,21,211.4776611328125,271.61614990234375,231.68370056152344,291.82220458984375,107,107
114,21,235.91940307617188,271.7923889160156,256.1254577636719,291.9984436035156,107,107
115,21,259.72479248046875,271.61614990234375,279.93084716796875,291.82220458984375,107,107
116,21,283.5628662109375,271.7923889160156,303.7689208984375,291.9984436035156,107,107
117,21,307.9719543457031,271.61614990234375,328.1780090332031,291.82220458984375,107,107
118,21,331.85894775390625,271.7923889160156,352.06500244140625,291.9984436035156,107,107
119,21,356.2191162109375,271.61614990234375,376.4251708984375,291.82220458984375,107,107
120,21,380.1550598144531,271.7923889160156,400.3611145019531,291.9984436035156,107,107
121,21,404.46624755859375,271.61614990234375,424.67230224609375,291.82220458984375,107,107
122,21,428.4511413574219,271.7923889160156,448.6571960449219,291.9984436035156,107,107
123,21,452.7134094238281,271.61614990234375,472.9194641113281,291.82220458984375,107,107
124,21,476.74725341796875,271.7923889160156,496.95330810546875,291.9984436035156,107,107
125,21,114.98335266113281,303.4517822265625,135.18939208984375,323.6578369140625,107,107
126,21,139.3271942138672,303.772216796875,159.53323364257812,323.978271484375,107,107
127,21,163.23049926757812,303.4517822265625,183.43653869628906,323.6578369140625,107,107
128,21,187.623291015625,303.772216796875,207.82933044433594,323.978271484375,107,107
129,21,211.4776611328125,303.4517822265625,231.68370056152344,323.6578369140625,107,107
130,21,235.91940307617188,303.772216796875,256.1254577636719,323.978271484375,107,107
131,21,259.72479248046875,303.4517822265625,279.93084716796875,323.6578369140625,107,107
132,21,283.5628662109375,303.772216796875,303.7689208984375,323.978271484375,107,107
133,21,307.9719543457031,303.4517822265625,328.1780090332031,323.6578369140625,107,107
134,21,331.85894775390625,303.772216796875,352.06500244140625,323.978271484375,107,107
135,21,356.2191162109375,303.4517822265625,376.4251708984375,323.6578369140625,107,107
136,21,380.1550598144531,303.772216796875,400.3611145019531,323.978271484375,107,107
137,21,404.46624755859375,303.4517822265625,424.67230224609375,323.6578369140625,107,107
138,21,428.4511413574219,303.772216796875,448.6571960449219,323.978271484375,107,107
139,21,452.7134094238281,303.4517822265625,472.9194641113281,323.6578369140625,107,107
140,21,476.74725341796875,303.772216796875,496.95330810546875,323.978271484375,107,107
141,21,114.98335266113281,335.2873840332031,135.18939208984375,355.4934387207031,107,107
142,21,139.3271942138672,335.09942626953125,159.53323364257812,355.30548095703125,107,107
143,21,163.23049926757812,335.2873840332031,183.43653869628906,355.4934387207031,107,107
144,21,187.623291015625,335.09942626953125,207.82933044433594,355.30548095703125,107,107
145,21,211.4776611328125,335.2873840332031,231.68370056152344,355.4934387207031,107,107
146,21,235.91940307617188,335.09942626953125,256.1254577636719,355.30548095703125,107,107
147,21,259.72479248046875,335.2873840332031,279.93084716796875,355.4934387207031,107,107
