S.N.,page_number,x0,y0,x1,y1,width,height
1,3,196.5590057373047,72.00198364257812,415.43902587890625,394.4179992675781,1520,2239
2,4,174.9600067138672,94.02497863769531,239.04000854492188,221.32098388671875,445,884
3,4,346.7720031738281,82.68698120117188,467.0119934082031,267.29498291015625,835,1282
